Nama Produk,Harga,Deksripsi,Link Toko,Alamat Fisik,Nama Toko,Foto (dalam bentuk link) bisa lebih 1 link
Topi Blangkon Pria,Rp.14.000-Rp.21.500,"Materiil kain katun prima, bahan tidak panas . 👍👍
di proses secara tradisional, sehingga lebih teliti dan cermat, cocok untuk sehari hari☀☀ untuk santai maupun bepergian, di bagian belakang jahitan ada karet dan tali berfungsi untuk menarik ulur blangkon agar bisa di setel sesuai ukuran kepala",Jual Topi Blangkon Pria Jawa Sunda model udeng terbaru motif jogja Solo kekinian | Shopee Indonesia,-,batikgajahmada,"https://down-id.img.susercontent.com/file/a713702844aea27142667bb5761fa1cb@resize_w450_nl.webp

https://down-id.img.susercontent.com/file/44b61cebbc188e41a563f73875e4a1d0@resize_w450_nl.webp

https://down-id.img.susercontent.com/file/id-11134207-7r98u-lor50c9hw0ztfa@resize_w450_nl.webp"
Blangkon jogja,Rp180.000,"Blangkon Alusan Jogja, bisa dicuci dan dilipat",https://shopee.co.id/Blangkon-rambut-premium-Topi-sunda-rambut-palsu-udeng-totopong-i.388964993.25430006079?sp_atk=ec17ddba-b6cd-4e5d-bf83-4c3a4152e2fc&xptdk=ec17ddba-b6cd-4e5d-bf83-4c3a4152e2fc,-,kufinastore,https://images.tokopedia.net/img/cache/900/VqbcmM/2023/3/23/e4032de7-8d44-4093-9f61-ef3f5cacd884.jpg
BLANGKON JOGJA HALUS Motif Keris! Warna Hitam,Rp159.300,"Blangkon Alusan Jogja Hitam List Batik Putih Simpel Best Quality Langsung dari tempat produksi.
Terbuat dari kain Mori Halus.
Batik Cap Printing Halus.
Tanpa Kertas Karton atau sejenisnya.
100% Full Kain Kualitas Premium","Jual BLANGKON JOGJA HALUS Motif Keris! - KUMITIER, 6 - Kab. Sleman - SONGKOK MILLENIAL | Tokopedia",-,SONGKOK MILENIAL,"https://images.tokopedia.net/img/cache/900/VqbcmM/2022/7/13/9fa6b1c0-d974-4e19-b451-6b85c1b17ccc.jpg
https://images.tokopedia.net/img/cache/900/VqbcmM/2022/8/11/74240127-39c6-4bf9-a610-444f7643b326.jpg
"
BLANGKON JOGJA HALUS Modang Putih,Rp159.600,Blangkon bisa di lipat dan dicuci,https://www.tokopedia.com/songkokmillenial/blangkon-jogja-halus-modang-putih-bisa-di-lipat-dan-di-cuci-modang-putih-4?extParam=src%3Dshop%26whid%3D13452491,-,SONGKOK MILENIAL,"https://images.tokopedia.net/img/cache/900/VqbcmM/2022/8/13/29bb7a36-b6ce-4a35-bd3c-402805aff7e1.jpg

https://images.tokopedia.net/img/cache/900/VqbcmM/2022/7/13/d7bea943-2e46-4157-87a2-52fb31751d13.jpg"
BLANGKON JOGJA HALUS MOTIF KATES,Rp159.200,Blangkon bisa di lipat dan dicuci,https://www.tokopedia.com/songkokmillenial/blangkon-jogja-halus-motif-kates-bisa-di-lipat-dan-di-cuci-hijau-4?extParam=whid%3D13452491%26src%3Dshop,-,SONGKOK MILENIAL,"https://images.tokopedia.net/img/cache/900/VqbcmM/2022/7/13/7fb80134-785b-4835-ab9c-44d16ea900aa.jpg

https://images.tokopedia.net/img/cache/900/VqbcmM/2022/7/13/4a18abde-33fc-4c0f-bc49-b60dd8505c4d.jpg"
Blangkon Alusan Jogja,Rp160.000,"Blangkon Asli YOGYAKARTA, bisa dilipat dan bisa dicuci",https://www.tokopedia.com/kufinastore/blangkon-alusan-jogja-bisa-dicuci-dan-dilipat-modng-putih-request?extParam=src%3Dshop%26whid%3D11304860,-,kufinastore,https://images.tokopedia.net/img/cache/900/VqbcmM/2022/11/12/aee0283b-cc48-4084-91ec-08df01940b57.jpg
Keris Sinom Pamor Kulit Semongko Hanggajih,Rp1.700.000,"Dapur : Sinom
Pamor : Kulit Semongko Hanggajih
Tangguh : Mataram
Warangka : Gayaman Jogja, Kayu Cendana Putih. Pendok Slorok Kemalo Merah",https://www.tokopedia.com/kerispusakajogja/keris-sinom-pamor-kulit-semongko-hanggajih?extParam=src%3Dshop%26whid%3D11489333,-,Keris Pusaka Jogja,https://images.tokopedia.net/img/cache/900/VqbcmM/2023/1/11/6ea285b0-87e3-44a1-bdf4-9de557c61a9a.jpg
Keris Sabuk Tampar Luk 9 Pamor Blarak Masir Malelo,Rp5.250.000,"Dapur : Sabuk Tampar Luk 9
Pamor : Blarak Masir Malelo
Tangguh : Mataram
Warangka : Branggah Jogja Pendok Perak",https://www.tokopedia.com/kerispusakajogja/keris-sabuk-tampar-luk-9-pamor-blarak-masir-malelo?extParam=src%3Dshop%26whid%3D11489333,-,Keris Pusaka Jogja,https://images.tokopedia.net/img/cache/900/VqbcmM/2023/1/11/0fa3e9c2-4c31-4622-8730-cb89e0121ead.jpg
Keris Sodo Lanang Pamor Wahyu Tumurun,Rp10.200.000,"Dapur : Sodo Lanang
Pamor : Wahyu Tumurun
Tangguh : Mataram
Warangka : Branggah Jogja Kayu Dieng",https://www.tokopedia.com/kerispusakajogja/keris-sodo-lanang-pamor-wahyu-tumurun?extParam=src%3Dshop%26whid%3D11489333,-,Keris Pusaka Jogja,https://images.tokopedia.net/img/cache/900/VqbcmM/2023/1/11/14eb3526-1e3f-42e3-b874-abe3f7f4440a.jpg
Keris Brojol Pamor Tritik Raja Temenang,Rp1.750.000,"Dapur : Brojol
Pamor : Tritik Raja Temenang
Tangguh : Agaluh
Warangka : Gayaman Jogja Akasya Berut",https://www.tokopedia.com/kerispusakajogja/keris-brojol-pamor-tritik-raja-temenang?extParam=src%3Dshop%26whid%3D11489333,-,Keris Pusaka Jogja,https://images.tokopedia.net/img/cache/900/VqbcmM/2021/6/4/001878c8-1389-4296-b1bb-ccad21d0a80a.jpg
